名字	性别	身份证号	座位号
能博瀚	男	330122198904250018	3
陆睿达	男	330122198904250018	17
郝宏伟	男	410411197004295520	44
段思淼	男	320112198610301612	43
方子实	男	430523198508256612	22
符项禹	男	362527198502221717	12
相宏浚	男	142726197810113311	35
宿英范	男	320682198302125772	39
庾志强	男	350702198904261316	19
江高轩	男	350212198206100537	23
吕舒怀	女	422301198306236219	44
李琳涵	女	362527198711010035	13
罗清昶	女	330682199006205918	15
邰吉敏	女	310106198710174076	36
闻丽思	女	511324198901291912	12
厉雅洁	女	310109199101082532	39
居锐洁	女	130427198611044414	45
何绮文	女	110222198209220313	50
阴胜红	女	431103199112300910	17
敖苏娟	女	411323199011085310	45
